date,home_team,away_team,home_pts,away_pts,point_diff
2024-09-05,KC,BAL,27.0,20.0,7.0
2024-09-06,PHI,GB,34.0,29.0,5.0
2024-09-08,ATL,PIT,10.0,18.0,-8.0
2024-09-08,BUF,ARI,34.0,28.0,6.0
2024-09-08,CHI,TEN,24.0,17.0,7.0
2024-09-08,CIN,NE,10.0,16.0,-6.0
2024-09-08,IND,HOU,27.0,29.0,-2.0
2024-09-08,MIA,JAX,20.0,17.0,3.0
2024-09-08,NO,CAR,47.0,10.0,37.0
2024-09-08,NYG,MIN,6.0,28.0,-22.0
2024-09-08,LAC,LV,22.0,10.0,12.0
2024-09-08,SEA,DEN,26.0,20.0,6.0
2024-09-08,CLE,DAL,17.0,33.0,-16.0
2024-09-08,TB,WAS,37.0,20.0,17.0
2024-09-08,DET,LA,26.0,20.0,6.0
2024-09-09,SF,NYJ,32.0,19.0,13.0
2024-09-12,MIA,BUF,10.0,31.0,-21.0
2024-09-15,BAL,LV,23.0,26.0,-3.0
2024-09-15,CAR,LAC,3.0,26.0,-23.0
2024-09-15,DAL,NO,19.0,44.0,-25.0
2024-09-15,DET,TB,16.0,20.0,-4.0
2024-09-15,GB,IND,16.0,10.0,6.0
2024-09-15,JAX,CLE,13.0,18.0,-5.0
2024-09-15,MIN,SF,23.0,17.0,6.0
2024-09-15,NE,SEA,20.0,23.0,-3.0
2024-09-15,TEN,NYJ,17.0,24.0,-7.0
2024-09-15,WAS,NYG,21.0,18.0,3.0
2024-09-15,ARI,LA,41.0,10.0,31.0
2024-09-15,DEN,PIT,6.0,13.0,-7.0
2024-09-15,KC,CIN,26.0,25.0,1.0
2024-09-15,HOU,CHI,19.0,13.0,6.0
2024-09-16,PHI,ATL,21.0,22.0,-1.0
2024-09-19,NYJ,NE,24.0,3.0,21.0
2024-09-22,CLE,NYG,15.0,21.0,-6.0
2024-09-22,IND,CHI,21.0,16.0,5.0
2024-09-22,MIN,HOU,34.0,7.0,27.0
2024-09-22,NO,PHI,12.0,15.0,-3.0
2024-09-22,PIT,LAC,20.0,10.0,10.0
2024-09-22,TB,DEN,7.0,26.0,-19.0
2024-09-22,TEN,GB,14.0,30.0,-16.0
2024-09-22,LV,CAR,22.0,36.0,-14.0
2024-09-22,SEA,MIA,24.0,3.0,21.0
2024-09-22,ARI,DET,13.0,20.0,-7.0
2024-09-22,DAL,BAL,25.0,28.0,-3.0
2024-09-22,LA,SF,27.0,24.0,3.0
2024-09-22,ATL,KC,17.0,22.0,-5.0
2024-09-23,BUF,JAX,47.0,10.0,37.0
2024-09-23,CIN,WAS,33.0,38.0,-5.0
2024-09-26,NYG,DAL,15.0,20.0,-5.0
2024-09-29,ATL,NO,26.0,24.0,2.0
2024-09-29,CAR,CIN,24.0,34.0,-10.0
2024-09-29,CHI,LA,24.0,18.0,6.0
2024-09-29,GB,MIN,29.0,31.0,-2.0
2024-09-29,HOU,JAX,24.0,20.0,4.0
2024-09-29,IND,PIT,27.0,24.0,3.0
2024-09-29,NYJ,DEN,9.0,10.0,-1.0
2024-09-29,TB,PHI,33.0,16.0,17.0
2024-09-29,ARI,WAS,14.0,42.0,-28.0
2024-09-29,SF,NE,30.0,13.0,17.0
2024-09-29,LAC,KC,10.0,17.0,-7.0
2024-09-29,LV,CLE,20.0,16.0,4.0
2024-09-29,BAL,BUF,35.0,10.0,25.0
2024-09-30,MIA,TEN,12.0,31.0,-19.0
2024-09-30,DET,SEA,42.0,29.0,13.0
2024-10-03,ATL,TB,36.0,30.0,6.0
2024-10-06,MIN,NYJ,23.0,17.0,6.0
2024-10-06,CHI,CAR,36.0,10.0,26.0
2024-10-06,CIN,BAL,38.0,41.0,-3.0
2024-10-06,HOU,BUF,23.0,20.0,3.0
2024-10-06,JAX,IND,37.0,34.0,3.0
2024-10-06,NE,MIA,10.0,15.0,-5.0
2024-10-06,WAS,CLE,34.0,13.0,21.0
2024-10-06,DEN,LV,34.0,18.0,16.0
2024-10-06,SF,ARI,23.0,24.0,-1.0
2024-10-06,LA,GB,19.0,24.0,-5.0
2024-10-06,SEA,NYG,20.0,29.0,-9.0
2024-10-06,PIT,DAL,17.0,20.0,-3.0
2024-10-07,KC,NO,26.0,13.0,13.0
2024-10-10,SEA,SF,24.0,36.0,-12.0
2024-10-13,CHI,JAX,35.0,16.0,19.0
2024-10-13,BAL,WAS,30.0,23.0,7.0
2024-10-13,GB,ARI,34.0,13.0,21.0
2024-10-13,NE,HOU,21.0,41.0,-20.0
2024-10-13,NO,TB,27.0,51.0,-24.0
2024-10-13,PHI,CLE,20.0,16.0,4.0
2024-10-13,TEN,IND,17.0,20.0,-3.0
2024-10-13,DEN,LAC,16.0,23.0,-7.0
2024-10-13,LV,PIT,13.0,32.0,-19.0
2024-10-13,CAR,ATL,20.0,38.0,-18.0
2024-10-13,DAL,DET,9.0,47.0,-38.0
2024-10-13,NYG,CIN,7.0,17.0,-10.0
2024-10-14,NYJ,BUF,20.0,23.0,-3.0
2024-10-17,NO,DEN,10.0,33.0,-23.0
2024-10-20,JAX,NE,32.0,16.0,16.0
2024-10-20,ATL,SEA,14.0,34.0,-20.0
2024-10-20,BUF,TEN,34.0,10.0,24.0
2024-10-20,CLE,CIN,14.0,21.0,-7.0
2024-10-20,GB,HOU,24.0,22.0,2.0
2024-10-20,IND,MIA,16.0,10.0,6.0
2024-10-20,MIN,DET,29.0,31.0,-2.0
2024-10-20,NYG,PHI,3.0,28.0,-25.0
2024-10-20,LA,LV,20.0,15.0,5.0
2024-10-20,WAS,CAR,40.0,7.0,33.0
2024-10-20,SF,KC,18.0,28.0,-10.0
2024-10-20,PIT,NYJ,37.0,15.0,22.0
2024-10-21,TB,BAL,31.0,41.0,-10.0
2024-10-21,ARI,LAC,17.0,15.0,2.0
2024-10-24,LA,MIN,30.0,20.0,10.0
2024-10-27,CIN,PHI,17.0,37.0,-20.0
2024-10-27,CLE,BAL,29.0,24.0,5.0
2024-10-27,DET,TEN,52.0,14.0,38.0
2024-10-27,HOU,IND,23.0,20.0,3.0
2024-10-27,JAX,GB,27.0,30.0,-3.0
2024-10-27,MIA,ARI,27.0,28.0,-1.0
2024-10-27,NE,NYJ,25.0,22.0,3.0
2024-10-27,TB,ATL,26.0,31.0,-5.0
2024-10-27,LAC,NO,26.0,8.0,18.0
2024-10-27,SEA,BUF,10.0,31.0,-21.0
2024-10-27,DEN,CAR,28.0,14.0,14.0
2024-10-27,LV,KC,20.0,27.0,-7.0
2024-10-27,WAS,CHI,18.0,15.0,3.0
2024-10-27,SF,DAL,30.0,24.0,6.0
2024-10-28,PIT,NYG,26.0,18.0,8.0
2024-10-31,NYJ,HOU,21.0,13.0,8.0
2024-11-03,ATL,DAL,27.0,21.0,6.0
2024-11-03,BAL,DEN,41.0,10.0,31.0
2024-11-03,BUF,MIA,30.0,27.0,3.0
2024-11-03,CAR,NO,23.0,22.0,1.0
2024-11-03,CIN,LV,41.0,24.0,17.0
2024-11-03,CLE,LAC,10.0,27.0,-17.0
2024-11-03,NYG,WAS,22.0,27.0,-5.0
2024-11-03,TEN,NE,20.0,17.0,3.0
2024-11-03,ARI,CHI,29.0,9.0,20.0
2024-11-03,PHI,JAX,28.0,23.0,5.0
2024-11-03,GB,DET,14.0,24.0,-10.0
2024-11-03,SEA,LA,20.0,26.0,-6.0
2024-11-03,MIN,IND,21.0,13.0,8.0
2024-11-04,KC,TB,30.0,24.0,6.0
2024-11-07,BAL,CIN,35.0,34.0,1.0
2024-11-10,CAR,NYG,20.0,17.0,3.0
2024-11-10,CHI,NE,3.0,19.0,-16.0
2024-11-10,IND,BUF,20.0,30.0,-10.0
2024-11-10,JAX,MIN,7.0,12.0,-5.0
2024-11-10,KC,DEN,16.0,14.0,2.0
2024-11-10,NO,ATL,20.0,17.0,3.0
2024-11-10,TB,SF,20.0,23.0,-3.0
2024-11-10,WAS,PIT,27.0,28.0,-1.0
2024-11-10,LAC,TEN,27.0,17.0,10.0
2024-11-10,ARI,NYJ,31.0,6.0,25.0
2024-11-10,DAL,PHI,6.0,34.0,-28.0
2024-11-10,HOU,DET,23.0,26.0,-3.0
2024-11-11,LA,MIA,15.0,23.0,-8.0
2024-11-14,PHI,WAS,26.0,18.0,8.0
2024-11-17,CHI,GB,19.0,20.0,-1.0
2024-11-17,DET,JAX,52.0,6.0,46.0
2024-11-17,MIA,LV,34.0,19.0,15.0
2024-11-17,NE,LA,22.0,28.0,-6.0
2024-11-17,NO,CLE,35.0,14.0,21.0
2024-11-17,NYJ,IND,27.0,28.0,-1.0
2024-11-17,PIT,BAL,18.0,16.0,2.0
2024-11-17,TEN,MIN,13.0,23.0,-10.0
2024-11-17,DEN,ATL,38.0,6.0,32.0
2024-11-17,SF,SEA,17.0,20.0,-3.0
2024-11-17,BUF,KC,30.0,21.0,9.0
2024-11-17,LAC,CIN,34.0,27.0,7.0
2024-11-18,DAL,HOU,10.0,34.0,-24.0
2024-11-21,CLE,PIT,24.0,19.0,5.0
2024-11-24,CAR,KC,27.0,30.0,-3.0
2024-11-24,CHI,MIN,27.0,30.0,-3.0
2024-11-24,HOU,TEN,27.0,32.0,-5.0
2024-11-24,IND,DET,6.0,24.0,-18.0
2024-11-24,MIA,NE,34.0,15.0,19.0
2024-11-24,NYG,TB,7.0,30.0,-23.0
2024-11-24,WAS,DAL,26.0,34.0,-8.0
2024-11-24,LV,DEN,19.0,29.0,-10.0
2024-11-24,GB,SF,38.0,10.0,28.0
2024-11-24,SEA,ARI,16.0,6.0,10.0
2024-11-24,LA,PHI,20.0,37.0,-17.0
2024-11-25,LAC,BAL,23.0,30.0,-7.0
2024-11-28,DET,CHI,23.0,20.0,3.0
2024-11-28,DAL,NYG,27.0,20.0,7.0
2024-11-28,GB,MIA,30.0,17.0,13.0
2024-11-29,KC,LV,19.0,17.0,2.0
2024-12-01,ATL,LAC,13.0,17.0,-4.0
2024-12-01,CIN,PIT,38.0,44.0,-6.0
2024-12-01,JAX,HOU,20.0,23.0,-3.0
2024-12-01,MIN,ARI,23.0,22.0,1.0
2024-12-01,NE,IND,24.0,25.0,-1.0
2024-12-01,NYJ,SEA,21.0,26.0,-5.0
2024-12-01,WAS,TEN,42.0,19.0,23.0
2024-12-01,CAR,TB,23.0,26.0,-3.0
2024-12-01,NO,LA,14.0,21.0,-7.0
2024-12-01,BAL,PHI,19.0,24.0,-5.0
2024-12-01,BUF,SF,35.0,10.0,25.0
2024-12-02,DEN,CLE,41.0,32.0,9.0
2024-12-05,DET,GB,34.0,31.0,3.0
2024-12-08,MIA,NYJ,32.0,26.0,6.0
2024-12-08,MIN,ATL,42.0,21.0,21.0
2024-12-08,NYG,NO,11.0,14.0,-3.0
2024-12-08,PHI,CAR,22.0,16.0,6.0
2024-12-08,PIT,CLE,27.0,14.0,13.0
